typeCode,freqCode,refPeriodId,Year,refMonth,period,reporterCode,reporterISO,Country,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,import_value,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,36,AUS,Australia,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,71213.431,85452144.0,71213431.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,50,BGD,Bangladesh,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,3346.61,85452144.0,3346610.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,56,BEL,Belgium,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,216014.45,85452144.0,216014450.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,124,CAN,Canada,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,307084.17,85452144.0,307084170.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,144,LKA,Sri Lanka,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,7130.66,85452144.0,7130660.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,156,CHN,China,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1156737.469,85452144.0,1156737469.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,191,HRV,Croatia,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1188.149,85452144.0,1188149.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,251,FRA,France,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,994572.648,85452144.0,994572648.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,276,DEU,Germany,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1261830.185,85452144.0,1261830185.0,0,False,0.0
C,A,20000101,2000,52,2000,32,ARG,Argentina,M,Import,364,IRN,Iran,0,W00,World,H1,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1.0,,0.0,0,-1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2548.941,85452144.0,2548941.0,0,False,0.0
